stfips,county_name,state,cat_rucc,air_EQI_22July2013,water_EQI_22July2013,land_EQI_22July2013,sociod_EQI_22July2013,built_EQI_22July2013,EQI_22July2013,RUCC1_air_EQI_22July2013,RUCC1_water_EQI_22July2013,RUCC1_land_EQI_22July2013,RUCC1_sociod_EQI_22July2013,RUCC1_built_EQI_22July2013,RUCC1_EQI_22July2013,RUCC2_air_EQI_22July2013,RUCC2_water_EQI_22July2013,RUCC2_land_EQI_22July2013,RUCC2_sociod_EQI_22July2013,RUCC2_built_EQI_22July2013,RUCC2_EQI_22July2013,RUCC3_air_EQI_22July2013,RUCC3_water_EQI_22July2013,RUCC3_land_EQI_22July2013,RUCC3_sociod_EQI_22July2013,RUCC3_built_EQI_22July2013,RUCC3_EQI_22July2013,RUCC4_air_EQI_22July2013,RUCC4_water_EQI_22July2013,RUCC4_land_EQI_22July2013,RUCC4_sociod_EQI_22July2013,RUCC4_built_EQI_22July2013,RUCC4_EQI_22July2013
01049,DeKalb County,AL,3,0.3951405,-1.497997,-0.5405833,-0.5786327,-0.1094694,-0.5553098,,,,,,,,,,,,,0.9047399,-1.655726,-0.4944282,-0.3780972,-0.3383847,-0.6950779,,,,,,
01051,Elmore County,AL,1,0.4919801,-1.067229,-0.5559979,0.8346915,-0.8864529,-0.1862594,-0.3073699,-1.092931,-0.6985869,-0.5361372,-1.289357,-0.9824387,,,,,,,,,,,,,,,,,,
01053,Escambia County,AL,3,0.4550379,-1.287591,-2.041462,-0.7903011,0.0137348,-0.9492965,,,,,,,,,,,,,0.9498624,-1.431849,-1.981062,-0.512275,-0.3485821,-1.309222,,,,,,
01055,Etowah County,AL,1,1.261626,-0.8389902,-0.5926611,-0.2264225,0.4286502,0.18682,0.7315747,-0.8686833,-0.7401369,0.7239709,0.2098932,-0.3233254,,,,,,,,,,,,,,,,,,
01057,Fayette County,AL,3,-0.1948088,-1.047124,-0.9446382,-0.6849777,-0.2928813,-0.8965473,,,,,,,,,,,,,-0.0113012,-1.214305,-0.8366767,-0.5244378,-0.5846123,-1.012352,,,,,,
01059,Franklin County,AL,3,0.2432008,-0.9574646,-0.4494201,-0.8117466,-0.3168294,-0.6462606,,,,,,,,,,,,,0.6761733,-1.123897,-0.3734744,-0.6663448,-0.8613905,-0.7771897,,,,,,
01061,Geneva County,AL,1,0.0872817,-1.396302,-1.666807,-0.9551147,-1.195321,-1.496679,-0.977883,-1.433845,-1.840236,1.23657,-1.621256,-2.411521,,,,,,,,,,,,,,,,,,
01063,Greene County,AL,1,-0.2028892,-1.161637,-0.4426979,-2.010546,-0.2798887,-1.284135,-1.505923,-1.184945,-0.6754819,2.721262,-0.7731115,-2.068735,,,,,,,,,,,,,,,,,,
01065,Hale County,AL,1,-0.0835471,-1.525895,-0.3608167,-1.203597,-1.752553,-1.514729,-1.308195,-1.553272,-0.5426719,1.648481,-2.230994,-2.400234,,,,,,,,,,,,,,,,,,
01067,Henry County,AL,1,-0.0988077,-1.470408,-1.359787,-0.7181928,-1.264882,-1.424516,-1.320171,-1.501473,-1.499852,1.061527,-1.745585,-2.370165,,,,,,,,,,,,,,,,,,
01069,Houston County,AL,1,0.8838395,-0.7567589,-1.676321,-0.0068979,1.19405,0.1311896,0.2534469,-0.7941161,-1.809171,0.6237737,1.098532,-0.4914255,,,,,,,,,,,,,,,,,,
01071,Jackson County,AL,3,0.3244386,-0.9343106,-0.310751,-0.2539756,0.1859785,-0.1783124,,,,,,,,,,,,,0.7983309,-1.099084,-0.2438405,-0.0045727,-0.0453223,-0.1659487,,,,,,
01073,Jefferson County,AL,1,1.599425,-0.7234151,-0.1579854,0.2832816,0.742286,0.7568169,1.3279,-0.7542995,-0.3363885,0.5223469,0.6126195,0.3501155,,,,,,,,,,,,,,,,,,
01075,Lamar County,AL,4,-0.2476654,-1.483705,-1.135449,-0.8443219,-0.8964906,-1.330724,,,,,,,,,,,,,,,,,,,1.001921,-1.217084,-0.9497536,-0.5255737,-0.1429224,-0.7961904
01077,Lauderdale County,AL,1,1.157003,-1.043781,0.1620038,0.1061894,0.2000887,0.3663877,0.5784742,-1.061128,0.0591159,0.4635976,0.0152611,-0.1410487,,,,,,,,,,,,,,,,,,
01079,Lawrence County,AL,1,0.6954468,-1.015049,-0.3941799,-0.1714151,-1.209952,-0.5635703,-0.11477,-1.037211,-0.4775373,0.3754175,-1.633577,-1.288921,,,,,,,,,,,,,,,,,,
01081,Lee County,AL,1,1.095201,-0.8520504,-0.3241729,-0.2863426,-0.077458,-0.0060011,0.546942,-0.8849542,-0.6126277,1.135128,-0.2805167,-0.562776,,,,,,,,,,,,,,,,,,
01083,Limestone County,AL,1,1.109551,-0.9299271,0.1351192,0.3703893,-0.3890492,0.2505608,0.5443897,-0.9513044,0.0840278,0.041792,-0.7245489,-0.3166639,,,,,,,,,,,,,,,,,,
01085,Lowndes County,AL,1,-0.1692804,-1.459948,-0.5296161,-1.729584,-1.498828,-1.688474,-1.348557,-1.48849,-0.6860765,2.046698,-2.05073,-2.566434,,,,,,,,,,,,,,,,,,
01087,Macon County,AL,3,0.414538,-0.9795369,-0.9971046,-1.678032,-0.1074642,-0.9989008,,,,,,,,,,,,,0.9591481,-1.147049,-0.8927547,-1.647824,-0.8317721,-1.317407,,,,,,
01089,Madison County,AL,1,1.119115,-0.7665721,-0.0531268,0.8606474,0.5961595,0.7784039,0.6093565,-0.7961149,-0.1145562,-0.1072527,0.4544428,0.2478698,,,,,,,,,,,,,,,,,,
01091,Marengo County,AL,3,-0.1303334,-0.9846498,-0.0910132,-0.9409408,0.4736884,-0.4436826,,,,,,,,,,,,,0.0652497,-1.147301,0.026583,-0.7227775,0.0121133,-0.3794344,,,,,,
01093,Marion County,AL,4,-0.0701385,-1.01477,-1.168881,-0.8115409,-0.322262,-0.9686317,,,,,,,,,,,,,,,,,,,1.29394,-0.7145142,-0.9873005,-0.5471029,0.2173573,-0.549266
01095,Marshall County,AL,2,0.5074522,-0.9446014,-0.4644142,-0.1034245,0.2238257,-0.0877583,,,,,,,-0.0048527,-0.9980229,-0.4928515,-0.1599301,-0.4085893,-0.7496175,,,,,,,,,,,,
01097,Mobile County,AL,1,1.273919,-0.7759879,-1.249175,-0.2749085,0.2575722,-0.0607774,0.8227315,-0.8171226,-1.43623,1.027803,-0.0018268,-0.6242416,,,,,,,,,,,,,,,,,,
01099,Monroe County,AL,3,-0.1765922,-1.201586,-1.679679,-0.9407486,-0.7703359,-1.395643,,,,,,,,,,,,,-0.005241,-1.361801,-1.627923,-0.5985592,-0.9909038,-1.719857,,,,,,
01101,Montgomery County,AL,1,1.06388,-0.8453642,-0.5595748,-0.0105641,0.7144348,0.3125416,0.646892,-0.8766711,-0.7246355,0.8189672,0.5545307,-0.2254486,,,,,,,,,,,,,,,,,,
01103,Morgan County,AL,1,1.484486,-0.9918228,-0.3755517,0.3190727,0.3430195,0.4741926,1.116437,-1.012662,-0.4579085,0.2522561,0.2163278,-0.0020494,,,,,,,,,,,,,,,,,,
01105,Perry County,AL,4,-0.3713911,-1.4887,-0.3099595,-2.278363,-1.704276,-1.988178,,,,,,,,,,,,,,,,,,,0.8692781,-1.217681,-0.1890915,-2.269015,-0.8703178,-1.550947
01107,Pickens County,AL,4,-0.2984365,-1.481233,-0.7058909,-1.009789,-0.6436461,-1.199702,,,,,,,,,,,,,,,,,,,0.9469704,-1.206877,-0.5411291,-0.8199717,-0.0189684,-0.6353344
01109,Pike County,AL,3,0.0598031,-1.416511,-1.367575,-1.153579,0.3160656,-0.9528034,,,,,,,,,,,,,0.3536078,-1.565607,-1.321892,-0.896031,-0.1074472,-1.167966,,,,,,
01111,Randolph County,AL,3,-0.057707,-1.046226,-0.3970043,-0.7701503,-0.5560451,-0.8243849,,,,,,,,,,,,,0.2139893,-1.212905,-0.3002518,-0.6563401,-0.6568121,-0.9301375,,,,,,
01113,Russell County,AL,1,1.221229,-1.036148,-0.6757652,-0.7564058,0.4151172,-0.0953769,0.7224247,-1.062088,-0.9691792,1.350526,0.2754589,-0.6023793,,,,,,,,,,,,,,,,,,
01115,St. Clair County,AL,1,0.820862,-1.546678,-0.6216325,0.2926149,-0.3742438,-0.2010724,0.0870015,-1.574375,-0.7447157,-0.0292311,-0.6638194,-0.883675,,,,,,,,,,,,,,,,,,
01117,Shelby County,AL,1,1.180253,-0.8513269,-0.6050194,1.941549,0.3074988,0.9391611,0.6457633,-0.8784156,-0.7305934,-1.402149,0.1057113,0.3209607,,,,,,,,,,,,,,,,,,
01119,Sumter County,AL,4,-0.3331351,-1.002564,-0.3029731,-2.133904,0.1764608,-1.142015,,,,,,,,,,,,,,,,,,,0.9299576,-0.7257123,-0.2049527,-2.166723,0.5060816,-0.8004627
01121,Talladega County,AL,2,0.9052505,-0.5249334,0.1185727,-0.5059097,0.0588045,0.0779066,,,,,,,0.7965155,-0.5950222,0.1178815,-0.4695281,-1.573523,-0.4929226,,,,,,,,,,,,
01123,Tallapoosa County,AL,3,0.1637152,-1.050121,-0.3345971,-0.5188538,0.1271338,-0.3856374,,,,,,,,,,,,,0.5676126,-1.225356,-0.2450757,-0.1958786,-0.1804385,-0.3979048,,,,,,
01125,Tuscaloosa County,AL,1,1.199555,-1.063299,-0.567566,-0.0084174,0.597589,0.2750627,0.6900839,-1.087283,-0.7382075,0.867022,0.4186764,-0.245198,,,,,,,,,,,,,,,,,,
01127,Walker County,AL,1,0.4714692,-0.9926742,-0.5558276,-0.3599326,-0.1866082,-0.3824043,-0.4466036,-1.016041,-0.7292259,0.6719371,-0.5174462,-1.090472,,,,,,,,,,,,,,,,,,
01129,Washington County,AL,4,-0.2202014,-1.00578,-1.701989,-0.7196276,-2.045442,-1.759578,,,,,,,,,,,,,,,,,,,1.042323,-0.7201442,-1.437582,-0.2433036,-1.179278,-1.276302
01131,Wilcox County,AL,4,-0.525683,-1.065692,-0.8864514,-2.691107,-1.320324,-2.141649,,,,,,,,,,,,,,,,,,,0.7151716,-0.7904069,-0.6672066,-2.575677,-0.4773708,-1.856524
01133,Winston County,AL,3,0.0160874,-1.082048,-1.406308,-0.9772562,-0.7411081,-1.233202,,,,,,,,,,,,,0.3100199,-1.251501,-1.286932,-0.7768489,-0.9164763,-1.544528,,,,,,
02013,Aleutians East Bo,AK,4,-3.074411,-0.0220987,-5.101795,-2.414953,-2.503092,-4.333757,,,,,,,,,,,,,,,,,,,-2.112975,0.1745457,-4.502316,-1.14532,-1.338983,-3.750707
02016,Aleutians West Ce,AK,3,-2.730638,-0.0674862,-5.092213,-0.3512651,-3.99421,-3.971623,,,,,,,,,,,,,-3.97653,-0.1288658,-4.922979,0.6857168,-5.738608,-4.651215,,,,,,
02020,Anchorage Borough,AK,1,0.4009067,0.617183,-4.764957,1.153998,1.224079,-0.184214,-0.1613531,0.551096,-5.161808,-0.0951503,1.161313,-1.157273,,,,,,,,,,,,,,,,,,
02050,Bethel Census Are,AK,3,-2.17107,0.0073563,-5.118498,-2.044805,-0.8297725,-3.267108,,,,,,,,,,,,,-3.045267,-0.0473423,-4.95042,-1.710842,-1.531439,-3.838808,,,,,,
02060,Bristol Bay Borou,AK,4,-2.702954,-0.0598552,-5.100278,-0.2879868,-1.531183,-3.042347,,,,,,,,,,,,,,,,,,,-1.702579,0.1327456,-4.500869,1.080891,-0.2459901,-2.205815
02068,Denali Borough,AK,4,-2.685928,-0.1675138,-4.863213,-0.6122177,1.297352,-2.085599,,,,,,,,,,,,,,,,,,,-1.730336,0.0355193,-4.296457,0.7867086,1.452915,-1.387674
02070,Dillingham Census,AK,4,-2.384127,-0.0300119,-5.091047,-1.373999,-0.7796605,-3.06557,,,,,,,,,,,,,,,,,,,-1.36441,0.1556834,-4.491195,-0.5887962,0.1220732,-2.570911
02090,Fairbanks N. Star,AK,1,0.191828,0.9446222,-4.819605,0.5512322,0.8872656,-0.5644143,-0.5610379,0.8652669,-5.223457,0.5640942,0.7750469,-1.581185,,,,,,,,,,,,,,,,,,
02100,Haines Borough,AK,4,-2.920395,-0.0641811,-5.207704,-0.470565,1.664606,-2.056069,,,,,,,,,,,,,,,,,,,-1.933127,0.1407223,-4.5569,0.9042352,1.760085,-1.321958
02110,Juneau Borough,AK,2,-0.8385518,-0.2959269,-5.019111,1.791411,0.2697547,-0.9617379,,,,,,,-2.660847,-0.3835883,-5.169548,1.766547,-0.024305,-2.328567,,,,,,,,,,,,
02122,Kenai Peninsula B,AK,3,-1.041367,0.0601816,-4.965477,-0.1157123,0.9925893,-1.418358,,,,,,,,,,,,,-1.308672,0.0188019,-4.80826,0.6475681,1.270479,-1.666974,,,,,,
02130,Ketchikan Gateway,AK,3,-0.7008367,-0.1969718,-5.119158,0.9600647,-2.063712,-2.090547,,,,,,,,,,,,,-0.7079369,-0.2424901,-4.945923,1.806088,-3.332975,-2.689927,,,,,,
02150,Kodiak Island Bor,AK,3,-0.791623,-0.0210562,-5.115808,0.816367,0.6971977,-1.138752,,,,,,,,,,,,,-0.895601,-0.0745245,-4.941378,1.666169,0.7583069,-1.373542,,,,,,
02164,Lake and Peninsul,AK,4,-3.14746,-0.2017101,-5.034644,-2.582152,-1.432512,-4.048748,,,,,,,,,,,,,,,,,,,-2.177958,-0.012234,-4.464702,-1.214969,-0.3661472,-3.492807
02170,Matanuska-Susitna,AK,1,-0.8422326,0.1148941,-5.107524,0.167031,0.6694379,-1.387458,-2.194022,0.0635241,-5.656409,0.5519813,0.3433048,-2.646,,,,,,,,,,,,,,,,,,
02180,Nome Census Area,AK,3,-2.431132,-0.0216895,-5.098325,-1.638221,-0.0815393,-2.929641,,,,,,,,,,,,,-3.411441,-0.079684,-4.927471,-1.08134,-0.4089839,-3.309873,,,,,,
02185,North Slope Borou,AK,3,-2.35373,0.0625972,-5.104577,-0.4335415,-1.265125,-2.857704,,,,,,,,,,,,,-3.274447,0.0064815,-4.932461,0.3905519,-2.277642,-3.248649,,,,,,
02188,Northwest Arctic,AK,3,-2.65326,-0.2392641,-5.114834,-1.517717,-2.321995,-3.821589,,,,,,,,,,,,,-3.772676,-0.2828459,-4.94303,-0.8733535,-2.693147,-4.455586,,,,,,
